,value
2010-11-28,127.45344374873763
2010-11-29,126.64350636235105
2010-11-30,126.20521106847102
2010-12-01,126.5950313068067
2010-12-02,127.15047465158554
2010-12-03,127.07069278933548
2010-12-04,126.14057766107857
2010-12-05,125.83760856392648
2010-12-06,126.12037972126843
2010-12-07,126.70611997576248
2010-12-08,126.82326802666128
2010-12-09,126.03958796202787
2010-12-10,126.12037972126843
2010-12-11,126.59099171884468
2010-12-12,126.42334881842052
2010-12-13,126.64350636235105
2010-12-14,126.98262977176329
2010-12-15,126.80731165421128
2010-12-16,127.04867703494244
2010-12-17,126.84750555443344
2010-12-18,126.86770349424359
2010-12-19,126.84952534841446
2010-12-20,127.3928499293072
2010-12-21,126.84750555443344
2010-12-22,127.04948495253484
2010-12-23,127.04948495253484
2010-12-24,127.00908907291456
2010-12-25,127.04746515855382
2010-12-26,127.35245404968694
2010-12-27,127.35245404968694
2010-12-28,127.67562108664916
2010-12-29,128.05534235507977
2010-12-30,128.0593819430418
2010-12-31,128.0593819430418
2011-01-01,128.0593819430418
2011-01-02,128.05877600484752
2011-01-03,127.95839224399111
2011-01-04,128.03817410624117
2011-01-05,128.03756816804685
2011-01-06,128.01898606342152
2011-01-07,128.4633407392446
2011-01-08,128.521914764694
2011-01-09,128.52393455867502
2011-01-10,128.59644516259343
2011-01-11,128.59644516259343
2011-01-12,128.43910321147243
2011-01-13,128.41486568370027
2011-01-14,130.07917592405573
2011-01-15,129.7984245606948
2011-01-16,129.8123611391638
2011-01-17,129.05917996364371
2011-01-18,128.32175318117552
2011-01-19,128.32175318117552
2011-01-20,129.87719652595436
2011-01-21,130.4813169056756
2011-01-22,130.96788527570186
2011-01-23,130.93556857200565
2011-01-24,130.4811149262775
2011-01-25,130.28115532215713
2011-01-26,130.4225409008281
2011-01-27,130.5073722480307
2011-01-28,131.00828115532215
2011-01-29,130.8668955766512
2011-01-30,131.6929913148859
2011-01-31,133.10886689557665
2011-02-01,136.16340133306403
2011-02-02,136.4617249040598
2011-02-03,135.93657846899617
2011-02-04,138.380529186023
2011-02-05,140.51545142395474
2011-02-06,140.12765097960008
2011-02-07,139.976166431024
2011-02-08,140.54170874570792
2011-02-09,144.0157543930519
2011-02-10,141.80024237527772
2011-02-11,143.61199757624723
2011-02-12,143.81175520096951
2011-02-13,143.20783680064633
2011-02-14,143.6117955968491
