,value
2019-11-11,127.70112799952267
2019-11-12,128.01704801569798
2019-11-13,128.15528085719967
2019-11-14,128.25194220896861
2019-11-15,126.86622312891382
2019-11-16,127.53757024748856
2019-11-17,127.60240423711011
2019-11-18,126.24557695524868
2019-11-19,125.52990588648274
2019-11-20,125.25042404058928
2019-11-21,123.13773011437209
2019-11-22,121.47172025597418
2019-11-23,122.89347232953385
2019-11-24,120.75162910692819
2019-11-25,121.3568523973928
2019-11-26,122.08509111632742
2019-11-27,123.26334327159655
2019-11-28,123.03039215756968
2019-11-29,123.83397185324866
2019-11-30,123.68091535038133
2019-12-01,122.73334578272461
2019-12-02,122.4115716715894
2019-12-03,122.36668302509787
2019-12-04,121.53348335556475
2019-12-05,121.98796287893968
2019-12-06,123.15147699890609
2019-12-07,122.89643820448867
2019-12-08,123.61321242078088
2019-12-09,122.48782386200467
2019-12-10,120.60040037584494
2019-12-11,121.0421366177217
2019-12-12,121.00356440526572
2019-12-13,121.12491418691522
2019-12-14,120.15708574341745
2019-12-15,120.61011265599313
2019-12-16,119.29275249300176
2019-12-17,117.11388489128079
2019-12-18,119.67061409493905
2019-12-19,119.79293141807378
2019-12-20,120.24382950521974
2019-12-21,119.61736871667168
2019-12-22,120.02218403690026
2019-12-23,118.97368542933899
2019-12-24,119.15396168526972
2019-12-25,118.524845714376
2019-12-26,118.6885722909391
2019-12-27,118.91555718977304
2019-12-28,118.84365089029598
2019-12-29,119.21932467453124
2019-12-30,118.61655010439486
2019-12-31,118.2853037620711
2020-01-01,118.58546053596164
2020-01-02,117.48594552618886
2020-01-03,118.8584372951573
2020-01-04,119.10253559747173
2020-01-05,119.08965243615404
2020-01-06,120.03977792042679
2020-01-07,119.95713530367598
2020-01-08,119.85678386476941
2020-01-09,119.39713100800051
2020-01-10,120.1294750209032
2020-01-11,119.8569553024335
2020-01-12,120.61480423830739
2020-01-13,120.42589838292398
2020-01-14,122.24043852167082
2020-01-15,123.42365192840043
2020-01-16,123.5734078845777
2020-01-17,124.54594636349199
2020-01-18,124.10321838162912
2020-01-19,122.97893740873752
2020-01-20,123.3352210377284
2020-01-21,123.80773289189719
2020-01-22,124.05710891695341
2020-01-23,123.29880681217398
2020-01-24,123.6382968002512
2020-01-25,123.03901720424041
2020-01-26,124.16263482385351
2020-01-27,124.53009329882823
2020-01-28,125.42500894750972
2020-01-29,125.83057385287229
2020-01-30,127.01610208278524
2020-01-31,126.42411179528827
2020-02-01,126.99850995953298
2020-02-02,127.37003851339716
2020-02-03,128.18188639279583
2020-02-04,128.81753689230604
2020-02-05,130.16919504675047
2020-02-06,132.37032842501938
2020-02-07,132.59815274200233
2020-02-08,133.30844660414942
2020-02-09,135.6284100912665
2020-02-10,134.90109420229757
2020-02-11,137.18423505774044
2020-02-12,138.72613099876608
2020-02-13,139.08170547774873
2020-02-14,140.82230098801915
2020-02-15,137.79091638059495
2020-02-16,135.98948790664764
2020-02-17,135.4606694943237
2020-02-18,137.4266077758099
2020-02-19,134.65679458137154
2020-02-20,134.43807230057118
2020-02-21,135.29069107324167
2020-02-22,134.8209647523774
2020-02-23,136.313806985894
2020-02-24,133.4058764701521
2020-02-25,130.31211250366385
2020-02-26,127.28085068325606
2020-02-27,128.22930347654847
2020-02-28,128.41980649030887
2020-02-29,127.34282239597148
2020-03-01,127.79630431865192
2020-03-02,129.80010368044904
2020-03-03,130.01701258468904
2020-03-04,131.37101477977563
2020-03-05,132.32771962608697
2020-03-06,133.22768242960134
2020-03-07,131.7112974071955
2020-03-08,126.64787086920185
2020-03-09,126.17872489410743
2020-03-10,126.94858767841485
2020-03-11,125.90966264234407
2020-03-12,110.74820789525518
2020-03-13,114.50214210379025
2020-03-14,112.90790174944868
2020-03-15,113.0830176310519
2020-03-16,110.85926366136238
2020-03-17,112.34136511466731
2020-03-18,112.66452000306245
2020-03-19,115.78591554350729
2020-03-20,114.90432473247162
2020-03-21,115.12888551192185
2020-03-22,113.2488954436779
2020-03-23,115.25639220736856
2020-03-24,115.9962757328136
2020-03-25,115.88252930669975
2020-03-26,116.47800810490047
2020-03-27,116.01943443906636
2020-03-28,115.5708100595217
2020-03-29,114.50781035284166
2020-03-30,116.15833139384736
2020-03-31,116.3471904845799
2020-04-01,116.59788866698962
2020-04-02,117.14993205480792
2020-04-03,117.39927292961015
2020-04-04,117.5794867740901
2020-04-05,117.16124891498305
2020-04-06,119.6702814359155
2020-04-07,119.33592671904182
2020-04-08,120.67656220941109
2020-04-09,120.88855597673025
2020-04-10,118.56755852444775
2020-04-11,118.58480638200761
2020-04-12,118.8828154202951
2020-04-13,118.62187556216998
2020-04-14,118.71862518870645
2020-04-15,117.79158368316413
2020-04-16,119.42455181408327
2020-04-17,119.41645813051852
2020-04-18,120.81440449472437
2020-04-19,119.84066714026181
2020-04-20,118.45314977221989
2020-04-21,118.88897045791092
2020-04-22,120.33496404380834
2020-04-23,121.5372774805237
2020-04-24,121.84438673488567
2020-04-25,122.93990536602163
2020-04-26,123.0987866368249
2020-04-27,123.02388951723654
2020-04-28,123.24590869708588
2020-04-29,125.08832636478223
2020-04-30,123.88685804866478
2020-05-01,125.26547385530985
2020-05-02,125.64236911455936
2020-05-03,124.55162323868167
2020-05-04,124.4245235373462
2020-05-05,124.66417649486291
2020-05-06,124.7699513587576
2020-05-07,125.43274167782802
2020-05-08,126.31366737934243
2020-05-09,126.41951698879907
2020-05-10,123.53542939300047
2020-05-11,122.74274786576683
2020-05-12,124.75067025061938
2020-05-13,125.78052668967368
2020-05-14,126.09211947449427
2020-05-15,125.30361679935336
2020-05-16,126.46031745806232
2020-05-17,126.95398069772264
2020-05-18,127.78220997630143
2020-05-19,128.39655304829955
2020-05-20,128.36999512090284
2020-05-21,127.25704471984884
2020-05-22,129.36384076330998
2020-05-23,129.2145725662272
2020-05-24,127.95650845166095
2020-05-25,129.9419931278771
2020-05-26,129.8356447251058
2020-05-27,131.2470625722987
2020-05-28,132.38045704584593
2020-05-29,132.91966154567072
2020-05-30,134.51118533475795
2020-05-31,133.14695635329116
2020-06-01,135.35224772912872
2020-06-02,134.31073415728645
2020-06-03,136.0282089737144
2020-06-04,136.55635903630733
2020-06-05,136.0668992089544
2020-06-06,136.44919272767905
2020-06-07,136.85593766461741
2020-06-08,137.29904940200714
2020-06-09,137.59186036679904
2020-06-10,139.04652329847403
2020-06-11,134.08567462005817
2020-06-12,137.38177183792328
2020-06-13,138.53289135469436
2020-06-14,137.13717732163357
2020-06-15,137.0514639611302
2020-06-16,138.22194787860715
2020-06-17,138.05932176064331
2020-06-18,140.74692784169787
2020-06-19,141.8958326175023
2020-06-20,142.61830165822178
2020-06-21,142.71800745153482
2020-06-22,143.90727949896893
2020-06-23,144.967499959241
2020-06-24,142.78015695400006
2020-06-25,143.3176067592425
2020-06-26,142.00214446459208
2020-06-27,138.39751007329943
2020-06-28,139.81511513145452
2020-06-29,141.10246283984765
2020-06-30,140.10767756190756
2020-07-01,140.99177300360202
2020-07-02,140.35414833799922
2020-07-03,141.48231333811813
2020-07-04,143.1877933217159
2020-07-05,142.3974427227128
2020-07-06,144.8919179650322
2020-07-07,145.63484518345265
2020-07-08,149.56856592727365
2020-07-09,148.40963071502094
2020-07-10,148.51554897003297
2020-07-11,150.16207664907486
2020-07-12,151.32353970446732
2020-07-13,151.30515867630157
2020-07-14,152.6350111332764
2020-07-15,153.17937325792894
2020-07-16,151.40309661870236
2020-07-17,154.70080266000335
2020-07-18,156.45144544122138
2020-07-19,159.3243340342067
2020-07-20,157.05780633278488
2020-07-21,159.29064274133006
2020-07-22,160.18306678663987
2020-07-23,160.87522688706719
2020-07-24,160.1876893105169
2020-07-25,162.2133821863058
2020-07-26,161.02739127113261
2020-07-27,156.44653106613362
2020-07-28,160.42920841588307
2020-07-29,160.75835365687146
2020-07-30,162.80574702823256
2020-07-31,163.68297670397567
2020-08-01,166.41001447055598
2020-08-02,165.7016219034435
2020-08-03,167.1422125013828
2020-08-04,170.79961516195885
2020-08-05,176.66688638390383
2020-08-06,181.90391507394992
2020-08-07,184.59427457391337
2020-08-08,196.3506420194209
2020-08-09,206.8839809192006
2020-08-10,213.71029755844913
2020-08-11,204.88201006279098
2020-08-12,216.93547960195002
2020-08-13,217.45323072271594
2020-08-14,223.83208789131197
2020-08-15,225.10358440499832
2020-08-16,233.15219562523953
2020-08-17,236.8450993724948
2020-08-18,234.29924937289044
2020-08-19,227.52000733659784
2020-08-20,238.59889414273897
2020-08-21,222.00995963180142
2020-08-22,231.07735837068265
2020-08-23,227.76898029312903
2020-08-24,234.1696801912106
2020-08-25,225.0098075995299
2020-08-26,236.05074704191318
2020-08-27,233.64836004356025
2020-08-28,253.73692338751837
2020-08-29,266.3627547983647
2020-08-30,282.03949114201566
